"ECO_NAME","CSIRO68","GHM1","HFP4","LIA","ensb_thr3","Natural","Integ1km10","Integ1km20","Integ1km30","Area (ha)"
"Admiralty Islands lowland rain forests",0.992089750903213,0.000963391136801541,0,0.877445932028836,0,0.973476647077018,1,1,1,209854.110904122
"Aegean and Western Turkey sclerophyllous and mixed forests",0.00979893564850973,0.00311787709923082,0.0180916298871226,0.217372343799556,0.000341446758694698,0.494979084322375,0.75280561435206,0.695270999161499,0.648077094029826,13355811.0866391
"Afghan Mountains semi-desert",0.586767200540114,0.033043985702823,0.0241288817611897,0.381606998456223,0.0355798331733963,0.915965095032361,0.999022361364625,0.997547426775996,0.995761682216584,1368246.0323284
"Ahklun and Kilbuck Upland Tundra",1,0.998085208233605,0.993131569050494,0.99926196236008,0.999501867995019,0.99998414155879,1,1,1,5082423.60181326
"Al-Hajar foothill xeric woodlands and shrublands",0.985743985743986,0.0356368476417423,0.20796345772645,0.265335173841774,0.0820792250475696,0.987642574444183,0.998484582968248,0.997718529644928,0.997084324279217,4637684.04178556
"Al-Hajar montane woodlands and shrublands",0.999639626653213,0,0.114670380687094,0.233317778814746,0.0282800185442745,0.98416534410619,1,0.999458952532102,0.997980089453181,214018.620506408
"Alai-Western Tian Shan steppe",0.389968628238504,0.00626562399846164,0.0303189158738107,0.0204364644916429,0.00344406448461163,0.511105106727911,0.668044977771173,0.639151837128952,0.616194845884262,12768318.2587104
"Alashan Plateau semi-desert",0.961289845823425,0.815246525148869,0.803073608660156,0.793554854322862,0.824631139757377,0.968316370379071,0.990311653598898,0.985152489712563,0.980752725536432,67435107.079948
"Alaska-St. Elias Range tundra",0.999950662662119,0.994974293450154,0.989139413965693,0.997279555266426,0.998008796956729,0.999440100163676,1,1,1,16530257.8651169
"Alaska Peninsula montane taiga",0.99307746955904,0.988222365065212,0.975427623181006,0.998692444195386,0.996916554249374,0.99996097041735,1,1,1,4887738.11542322
"Albany thickets",0.339216448497038,0.114221329278888,0.128261578604044,0.0864733508082132,0.039849027705604,0.895891995491369,0.99308398618482,0.985769943559936,0.975869766658243,3671776.70467838
"Alberta-British Columbia foothills forests",0.956970062456307,0.730937860557112,0.889312756964299,0.780625129372801,0.837312640933811,0.949692464876049,0.990672256670065,0.982775227189695,0.97550860599929,12162908.7023224
"Albertine Rift montane forests",0.333684385480907,0.00206076618229855,0.0725167823038641,0.368299757619104,0.0618539557530365,0.545631716430927,0.741683123740139,0.661574353569565,0.615868370698564,15049795.4596862
"Aldabra Island xeric scrub",1,0.952380952380952,NA,1,NA,0.847953216374269,1,1,1,15911.6111068112
"Aleutian Islands tundra",1,0.930608840700584,0.942944785276074,0.992396958783513,0.99214846538187,0.992575396179408,0.999932068447832,0.999735066946545,0.999388616030488,1227930.04474554
"Allegheny Highlands forests",0.756055540393013,0.147862313891545,0.175458950385587,0.490090959206174,0.198877883216735,0.776237509571057,0.996958126646007,0.994061154769585,0.990707267285054,7323767.22177882
"Alps conifer and mixed forests",0.809519586089528,0.0353748609267972,0.0534450999759737,0.469695106118377,0.0529156038289586,0.910754859081602,0.984564183325667,0.97566578529659,0.966914656792003,14987076.4690324
"Altai alpine meadow and tundra",0.861596236338833,0.718240589289092,0.427194244604317,0.704558314283774,0.652146321562939,0.921911198180312,0.992372431480288,0.989292448440015,0.986638182137822,9043506.10627094
"Altai montane forest and forest steppe",0.931389298876875,0.660355495003266,0.491496217427851,0.602896093805185,0.598396728363616,0.95949373186357,0.996085859753553,0.994623021237543,0.992979571941571,14287518.7892909
"Altai steppe and semi-desert",0.123458511597495,0.273654130239992,0.13500571497323,0.609806235023658,0.0745489368450587,0.731890653072966,0.941542629729732,0.917399310779347,0.896535453858634,8319196.7851769
"Alto Paraná Atlantic forests",0.132078220427365,0.0145086127985354,0.0243136155422427,0.0584292688296787,0.0138593299464506,0.361930722510398,0.748111762352997,0.645500877346734,0.563408766533315,48287872.1750422
"Amazon-Orinoco-Southern Caribbean mangroves",0.626079240409685,0.401521577094096,0.309775498456225,0.631841667396445,0.349751276345071,0.851637087036217,0.987159328044563,0.979211535485921,0.968668844067697,4089440.44646376
"Amsterdam-Saint Paul Islands temperate grasslands",1,NA,NA,NA,NA,NA,NA,NA,NA,6923.52322435345
"Amur meadow steppe",0.203279047757579,0.368523615813704,0.336402134395673,0.486764509895382,0.277421887397583,0.467281719427744,0.631540027043348,0.58522735119567,0.550565662982628,12362116.3716614
